@relation thread_length

@attribute threadID numeric
@attribute sentiment1 numeric
@attribute sentiment2 numeric
@attribute binnedTimeDiff1 numeric
@attribute binnedTimeDiff2 numeric
@attribute timeDiff1 numeric
@attribute timeDiff2 numeric
@attribute arrivalPattern1 numeric
@attribute arrivalPattern2 numeric
@attribute posterInteractions1 numeric
@attribute posterInteractions2 numeric
@attribute mutualInteractions1 numeric
@attribute mutualInteractions2 numeric
@attribute numWords1 numeric
@attribute numWords2 numeric
@attribute question1 numeric
@attribute question2 numeric
@attribute exclaim1 numeric
@attribute exclaim2 numeric
@attribute onThreadTopic1 numeric
@attribute onThreadTopic2 numeric
@attribute overlapPrevious1 numeric
@attribute overlapPrevious2 numeric
@attribute overlapDistance1 numeric
@attribute overlapDistance2 numeric
@attribute timeliness1 numeric
@attribute timeliness2 numeric
@attribute lengthiness1 numeric
@attribute lengthiness2 numeric
@attribute formatPunctuation1 numeric
@attribute formatPunctuation2 numeric
@attribute formatEmoticons1 numeric
@attribute formatEmoticons2 numeric
@attribute formatCapitals1 numeric
@attribute formatCapitals2 numeric
@attribute averageSentiment numeric
@attribute participants numeric
@attribute totalLinks numeric
@attribute threadLength numeric

@data
14640,-1,-1,2,3,123,199,0,1,-1,1,-1,29,7,51,0,0,0,0,0.4444,0.5172,0.4444,0.5172,1,2,0.5795,0.3588,0.0857,0.5524,0,0,0,0,0,0,-1,2,1,4
14641,0,0,3,3,283,300,1,12,1,1,3,430,17,15,0,0,0,0,0.2273,0.2105,0.2273,0.2105,1,2,0.1529,0.0096,0.4089,0.3532,0,1,0,0,0,0,0.6667,3,3,5
14642,1,0,1,5,13,863,0,1,-1,1,-1,14,46,17,1,1,0,0,0.3519,0.2105,0.3519,0.2632,1,1,0.0113,0.7085,1.0547,0.3711,1,0,0,0,1,0,-0.6667,2,1,5
14643,0,0,3,5,260,991,1,10,1,-1,4,-1,182,42,0,1,0,0,0.3702,0.4792,0.3702,0.625,1,1,0.1016,0.2855,2.8493,0.6575,0,0,0,0,0,0,0,2,1,9
14646,0,0,2,2,125,148,1,12,1,1,23,23,153,39,0,0,0,0,0.5287,0.3636,0.5287,0.5455,1,1,2.5302,0.4698,1.3558,0.3429,0,0,0,0,0,0,0,3,25,3
14648,1,0,3,4,316,483,1,12,2,2,146,153,19,73,1,0,0,0,0.3913,0.4268,0.3913,0.4268,1,2,0.5179,0.2736,0.4528,1.6142,0,0,0,0,0,1,0.3333,3,39,5
14650,1,0,5,5,979,1063,1,10,1,-1,6,-1,108,40,0,0,1,0,0.5868,0.6889,0.5868,0.6889,1,2,0.7846,0.0672,1.4057,0.5228,0,0,0,0,0,0,0.6667,2,1,13
14651,0,0,7,9,4323,12577,1,10,1,-1,2,-1,9,13,0,0,0,0,0.2727,0.4375,0.2727,0.4375,1,2,1.0311,1.9689,0.292,0.4248,0,0,0,0,0,0,0,2,1,3
14653,0,0,1,7,25,4173,1,12,2,2,205,97,16,25,0,0,0,0,0.2105,0.3448,0.2105,0.3448,1,2,0.023,3.7402,0.7308,1.1154,0,0,0,0,1,0,0,3,7,4
14654,0,0,3,4,203,546,1,12,1,1,7,4,68,32,0,0,0,0,0.4595,0.2941,0.4595,0.2941,1,2,0.5692,0.9613,1.2304,0.5653,0,1,0,0,1,1,0,3,5,7
